Model,Release Date,Release Year,Model ID,RAM Capacity (Mb),Storage (Mb),CPU Clock (MHz),Display Diagonal (in),Display Width (px),Display Length(px),Width (mm),Length (mm),Depth (mm),Volume (cubic cm),Mass (grams),Pixel Density (per inch),Cluster ID,Screen to Body Ratio
Casio Cassiopeia IT-500 M30R,4/1/2003,2003.25,286,0.015594958,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.19781719,0.463114754,0.089159718,0.045371818,0.049568966,0.17617365,0,2.859304042
Orange SPV E100 (HTC Tanager),4/1/2003,2003.25,287,0.00778222,0.000523305,0.059571164,0.035971223,0.030894309,0.093253968,0.118963165,0.292622951,0.111610006,0.020919427,0.014439655,0.210499748,0,1.867762923
Palm Tungsten C,4/1/2003,2003.25,288,0.031220435,0.000261141,0.199635034,0.09352518,0.089430894,0.142857143,0.195088677,0.295081967,0.069916613,0.015138214,0.025431034,0.26476527,0,3.165867726
I-Mate Smartphone (HTC Tanager),5/1/2003,2003.333333,289,0.00778222,0.000523305,0.059571164,0.035971223,0.030894309,0.093253968,0.118963165,0.292622951,0.111610006,0.020919427,0.014439655,0.210499748,0,1.867762923
MiTAC Mio 339 Digi-Walker,5/1/2003,2003.333333,290,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.178717599,0.307377049,0.059012187,0.019806008,0.023706897,0.17617365,0,4.768416979
MiTAC Mio 8380 Digi-Walker,5/1/2003,2003.333333,291,0.015594958,0.000523305,0.099589413,0.035971223,0.030894309,0.093253968,0.122783083,0.200819672,0.150737652,0.022546731,0.017887931,0.210499748,0,2.63692549
NEC MobilePro 900,5/1/2003,2003.333333,292,0.031220435,0.001047635,0.199635034,0.460431655,0.219512195,0.103174603,0.653478854,0.323770492,0.1533034,0.192814166,0.165948276,0.100706714,3,10.55469782
Panasonic Toughbook CF-P1,5/1/2003,2003.333333,293,0.031220435,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.249658936,0.508196721,0.22386145,0.139391474,0.103448276,0.17617365,3,2.064590905
Asus MyPal A620,6/1/2003,2003.416667,294,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.191814461,0.31147541,0.046183451,0.017900349,0.017456897,0.17617365,0,4.384376808
CyberBank POZ 0870,6/1/2003,2003.416667,295,0.031220435,0.001047635,0.099589413,0.129496403,0.056910569,0.142857143,0.174624829,0.329918033,0.089159718,0.054985761,0.05237069,0.390711762,0,0.924421141
E-TEN InfoTouch P603,6/1/2003,2003.416667,296,0.031220435,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.206002729,0.362295082,0.078896729,0.034944222,0.032327586,0.17617365,0,3.509761222
Hewlett-Packard iPAQ H1940 / H1945 (HTC Kiwi),6/1/2003,2003.416667,297,0.031220435,0.000523305,0.132604468,0.129496403,0.056910569,0.142857143,0.17271487,0.26352459,0.042976267,0.012226195,0.013793103,0.17617365,0,5.755222354
Hewlett-Packard iPAQ H2210 / H2212 / H2212e / H2215 (HTC Great Wall),6/1/2003,2003.416667,298,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.190723056,0.272131148,0.059653624,0.019634713,0.018146552,0.17617365,0,5.046979411
MiTAC Mio 338 Plus Digi-Walker,6/1/2003,2003.416667,299,0.019501328,0.001047635,0.099589413,0.129496403,0.056910569,0.142857143,0.191814461,0.29795082,0.041051956,0.015566452,0.0125,0.17617365,0,4.583392534
MiTAC Mio 558 Digi-Walker,6/1/2003,2003.416667,300,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.178717599,0.307377049,0.059012187,0.019806008,0.023706897,0.17617365,0,4.768416979
NTT DoCoMo Sigmarion III.,6/1/2003,2003.416667,301,0.031220435,0.000523305,0.199635034,0.237410072,0.284552846,0.222222222,0.497953615,0.278688525,0.095574086,0.10746633,0.091594828,0.165320545,3,16.67204164
Qtek 7070 (HTC Tanager),6/1/2003,2003.416667,302,0.00778222,0.000523305,0.059571164,0.035971223,0.030894309,0.093253968,0.118963165,0.292622951,0.111610006,0.020919427,0.014439655,0.210499748,0,1.867762923
Sony Clie PEG-NX73V,6/1/2003,2003.416667,303,0.00778222,0.000523305,0.099589413,0.151079137,0.154471545,0.142857143,0.178444748,0.338114754,0.100705581,0.034687279,0.036637931,0.273094397,0,4.904073589
Sony Clie PEG-NX80V,6/1/2003,2003.416667,304,0.015594958,0.000523305,0.099589413,0.151079137,0.154471545,0.142857143,0.178444748,0.338114754,0.100705581,0.034687279,0.037715517,0.273094397,0,4.904073589
Symbol PPT 8800w,6/1/2003,2003.416667,305,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.205457026,0.397540984,0.168697883,0.073399996,0.054956897,0.17617365,0,3.207082101
ViewSonic Pocket PC V36,6/1/2003,2003.416667,306,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.192360164,0.319672131,0.050673509,0.019870244,0.016594828,0.17617365,0,4.259837858
Hewlett-Packard iPAQ H5150 / H5155,7/1/2003,2003.5,307,0.031220435,0.000523305,0.199635034,0.151079137,0.056910569,0.142857143,0.210095498,0.364754098,0.062860808,0.029783954,0.02737069,0.152195861,0,4.580071715
Hewlett-Packard iPAQ H5550 / H5555,7/1/2003,2003.5,308,0.062471389,0.00078547,0.199635034,0.151079137,0.056910569,0.142857143,0.210095498,0.364754098,0.062860808,0.029783954,0.031681034,0.152195861,0,4.580071715
Hitachi SH-G1000,7/1/2003,2003.5,309,0.015594958,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.211459754,0.401639344,0.108402822,0.05136715,0.038362069,0.17617365,0,3.084246013
Palm Tungsten T2,7/1/2003,2003.5,310,0.015594958,0.000130058,0.071576639,0.09352518,0.089430894,0.142857143,0.186903138,0.217213115,0.057087877,0.032075027,0.020905172,0.058556285,0,91.77826938
CyberBank Triton  0885 / 1880,8/1/2003,2003.583333,311,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.181446112,0.450819672,0.100705581,0.025266043,0.029956897,0.225391217,0,1.956457354
CyberBank Triton 0880,8/1/2003,2003.583333,312,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.181446112,0.450819672,0.100705581,0.023874269,0.024568966,0.291771832,0,1.167502014
Samsung SCH-M400,8/1/2003,2003.583333,313,0.031220435,0.001047635,0.149612223,0.129496403,0.056910569,0.142857143,0.175989086,0.340163934,0.077613855,0.027086054,0.031681034,0.17617365,0,4.375613791
T-Mobile MDA II (HTC Himalaya),8/1/2003,2003.583333,314,0.062471389,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.172987722,0.329918033,0.08274535,0.027385821,0.026939655,0.17617365,0,4.589777681
Dell Axim X3 Advanced,9/1/2003,2003.666667,315,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.192905866,0.278688525,0.057087877,0.026400874,0.032758621,0.17617365,0,4.87246202
Dell Axim X3 Basic,9/1/2003,2003.666667,316,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.192905866,0.278688525,0.057087877,0.008393465,0.009267241,0.416961131,0,0.869839695
Dell Axim X3i,9/1/2003,2003.666667,317,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.192905866,0.300819672,0.057087877,0.019570477,0.016034483,0.17617365,0,4.513997521
E-TEN InfoTouch P300,9/1/2003,2003.666667,318,0.031220435,0.000523305,0.101090097,0.079136691,0.056910569,0.142857143,0.165075034,0.278688525,0.108402822,0.029163009,0.02262931,0.244068652,0,2.96667793
Handspring Treo 600 CDMA,9/1/2003,2003.666667,319,0.015594958,0.000130058,0.071576639,0.064748201,0.024390244,0.063492063,0.145975443,0.258196721,0.101988454,0.022204141,0.023275862,0.10449268,0,3.762992243
Handspring Treo 600 GSM,9/1/2003,2003.666667,320,0.015594958,0.000130058,0.071576639,0.064748201,0.024390244,0.063492063,0.145975443,0.258196721,0.101988454,0.022204141,0.023275862,0.10449268,0,3.762992243
Hewlett-Packard iPAQ H1930 / H1935 (HTC Kiwi),9/1/2003,2003.666667,321,0.031220435,0.000261141,0.101090097,0.129496403,0.056910569,0.142857143,0.17271487,0.26352459,0.042976267,0.012226195,0.013793103,0.17617365,0,5.755222354
Hewlett-Packard iPAQ H1937 (HTC Kiwi),9/1/2003,2003.666667,322,0.031220435,0.000261141,0.101090097,0.129496403,0.056910569,0.142857143,0.17271487,0.26352459,0.042976267,0.012226195,0.013793103,0.17617365,0,5.755222354
I-Mate Pocket PC Phone Edition (HTC Himalaya),9/1/2003,2003.666667,323,0.062471389,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.172987722,0.329918033,0.08274535,0.027385821,0.026939655,0.17617365,0,4.589777681
O2 XDA II (HTC Himalaya),9/1/2003,2003.666667,324,0.062471389,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.172987722,0.329918033,0.08274535,0.027385821,0.026939655,0.17617365,0,4.589777681
Sony Clie PEG-NX73VE,9/1/2003,2003.666667,325,0.00778222,0.000523305,0.099589413,0.151079137,0.154471545,0.142857143,0.178444748,0.338114754,0.100705581,0.034687279,0.036637931,0.273094397,0,4.904073589
Sony Clie PEG-UX40 / PEG-UX40U / PEG-UX40E,9/1/2003,2003.666667,326,0.019501328,0.001047635,0.061071849,0.107913669,0.154471545,0.142857143,0.263301501,0.153688525,0.075689545,0.024709333,0.024784483,0.336193841,0,4.824765026
Sony Clie PEG-UX50 / PEG-UX50U / PEG-UX50E,9/1/2003,2003.666667,327,0.019501328,0.001047635,0.061071849,0.107913669,0.154471545,0.142857143,0.263301501,0.153688525,0.075689545,0.024709333,0.024784483,0.336193841,0,4.824765026
Asus MyPal A620BT,10/1/2003,2003.75,328,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.191814461,0.31147541,0.046183451,0.017900349,0.017456897,0.17617365,0,4.384376808
CyberBank Triton 1880 KW,10/1/2003,2003.75,329,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.181446112,0.450819672,0.100705581,0.044729461,0.060344828,0.17617365,0,3.202303267
Fujitsu-Siemens Pocket LOOX 610BT/WLAN,10/1/2003,2003.75,330,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.195088677,0.403688525,0.077613855,0.035393872,0.03125,0.17617365,0,3.326093975
Hewlett-Packard iPAQ H4150 / H4155,10/1/2003,2003.75,331,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.174897681,0.264754098,0.047466325,0.01374644,0.015517241,0.17617365,0,5.657000818
Hewlett-Packard iPAQ H4350 / H4355 (HTC Dextrous),10/1/2003,2003.75,332,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.185811733,0.367622951,0.053880693,0.022675203,0.02262931,0.17617365,0,3.834751561
Nokia 6600 (Nokia Calimero),10/1/2003,2003.75,333,0.00778222,0.000392223,0.051567515,0.028776978,0.030894309,0.087301587,0.14106412,0.244262295,0.11289288,0.019677537,0.014008621,0.208480565,0,1.800928524
Nokia N-Gage (Nokia Starship),10/1/2003,2003.75,334,0.00778222,0.000261141,0.051567515,0.028776978,0.030894309,0.087301587,0.347066849,0.084836066,0.090442591,0.018435647,0.016163793,0.308430086,0,0.962927302
Psion Teklogix netBook Pro,10/1/2003,2003.75,335,0.062471389,0.000523305,0.199635034,0.489208633,0.284552846,0.281746032,0.623465211,0.553278689,0.185375241,0.314605057,0.224137931,0.184755174,3,6.808812195
RoverPC P5+,10/1/2003,2003.75,336,0.031220435,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.195088677,0.331967213,0.076330981,0.029634071,0.026939655,0.17617365,0,4.044694531
Samsung SCH-i600 / SPH-i600,10/1/2003,2003.75,337,0.015594958,0.000523305,0.099589413,0.035971223,0.030894309,0.093253968,0.129604366,0.18442623,0.108402822,0.01554504,0.015086207,0.210499748,0,2.720196799
Sony Clie PEG-TJ35,10/1/2003,2003.75,338,0.015594958,0.000130058,0.099589413,0.100719424,0.089430894,0.142857143,0.189631651,0.25,0.037844772,0.014517269,0.017241379,0.250630994,0,4.290117082
Toshiba e400,10/1/2003,2003.75,339,0.031220435,0.00078547,0.149612223,0.129496403,0.056910569,0.142857143,0.190177353,0.31147541,0.037844772,0.015031154,0.016594828,0.17617365,0,4.422118938
Typhoon MyGuide 5500 XL,10/1/2003,2003.75,340,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.191814461,0.31147541,0.046183451,0.017900349,0.017456897,0.17617365,0,4.384376808
Yakumo PDA Delta 400,10/1/2003,2003.75,341,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.180900409,0.29795082,0.049390635,0.016744106,0.014008621,0.176426047,0,4.846021622
Acer n10,11/1/2003,2003.833333,342,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.195088677,0.331967213,0.069275176,0.02725735,0.02262931,0.17617365,0,4.044694531
Audiovox PPC-5050 (HTC Falcon),11/1/2003,2003.833333,343,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.181446112,0.327868852,0.076330981,0.026850524,0.025,0.17617365,0,4.403166997
Dopod 696 / 696i (HTC Himalaya),11/1/2003,2003.833333,344,0.062471389,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.172987722,0.329918033,0.08274535,0.027385821,0.026939655,0.17617365,0,4.589777681
E-TEN InfoTouch P610,11/1/2003,2003.833333,345,0.031220435,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.200545703,0.352459016,0.078896729,0.033102799,0.032327586,0.17617365,0,3.705876979
Fujitsu-Siemens Pocket LOOX 610BT,11/1/2003,2003.833333,346,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.195088677,0.403688525,0.077613855,0.035393872,0.029525862,0.17617365,0,3.326093975
Motorola A920,11/1/2003,2003.833333,347,0.015594958,0.000392223,0.083582113,0.086330935,0.043902439,0.142857143,0.145975443,0.405737705,0.114175754,0.009721003,0.032758621,0.537102473,1,0.367071895
Motorola MPx200,11/1/2003,2003.833333,348,0.015594958,0.000523305,0.065573902,0.035971223,0.030894309,0.093253968,0.113233288,0.163934426,0.134060295,0.015245273,0.0125,0.210499748,0,3.502663067
PalmOne Treo 600 CDMA,11/1/2003,2003.833333,349,0.015594958,0.000130058,0.071576639,0.064748201,0.024390244,0.063492063,0.145975443,0.258196721,0.101988454,0.022204141,0.023275862,0.10449268,0,3.762992243
PalmOne Treo 600 GSM,11/1/2003,2003.833333,350,0.015594958,0.000130058,0.071576639,0.064748201,0.024390244,0.063492063,0.145975443,0.258196721,0.101988454,0.022204141,0.023275862,0.10449268,0,3.762992243
Qtek 2060 (HTC Himalaya),11/1/2003,2003.833333,351,0.062471389,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.172987722,0.329918033,0.08274535,0.027385821,0.026939655,0.17617365,0,4.589777681
RIM BlackBerry 7280,11/1/2003,2003.833333,352,0.000946074,0.000261141,0.15561496,0.064748201,0.056910569,0.063492063,0.186903138,0.262295082,0.089159718,0.022482496,0.01637931,0.276375568,0,0.964953375
Sendo X,11/1/2003,2003.833333,353,0.00778222,0.001047635,0.059571164,0.035971223,0.030894309,0.093253968,0.114597544,0.25204918,0.107119949,0.016722694,0.012931034,0.207723372,0,2.311609547
Toshiba e800 / e805,11/1/2003,2003.833333,354,0.062471389,0.001047635,0.199635034,0.165467626,0.154471545,0.301587302,0.190177353,0.350819672,0.067992303,0.027235938,0.028448276,0.390711762,1,4.574101896
Asus MyPal A716,12/1/2003,2003.916667,355,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.195088677,0.352459016,0.073765234,0.030233604,0.029525862,0.17617365,0,3.809537875
Bsquare Power Handheld,12/1/2003,2003.916667,356,0.062471389,0.001047635,0.199635034,0.165467626,0.219512195,0.222222222,0.219645293,0.37295082,0.085952534,0.058904139,0.073275862,0.315497224,0,5.982484561
CyberBank POZ 1870,12/1/2003,2003.916667,357,0.031220435,0.001047635,0.099589413,0.129496403,0.056910569,0.142857143,0.174624829,0.329918033,0.076330981,0.024794981,0.03125,0.17617365,0,4.546748535
Medion MDPNA 100 (MD95025),12/1/2003,2003.916667,358,0.031220435,0.000523305,0.132604468,0.129496403,0.056910569,0.142857143,0.181446112,0.344262295,0.089159718,0.032139263,0.025862069,0.17617365,0,4.193492373
MiTAC Mio 168 Digi-Walker,12/1/2003,2003.916667,359,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.172169168,0.26147541,0.065426555,0.017964585,0.01875,0.17617365,0,5.818710502
MiTAC Mio 168RS Digi-Walker,12/1/2003,2003.916667,360,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.172169168,0.26147541,0.065426555,0.017964585,0.01875,0.17617365,0,5.818710502
Orange SPV E200 (HTC Voyager),12/1/2003,2003.916667,361,0.015594958,0.001047635,0.065573902,0.035971223,0.030894309,0.093253968,0.118963165,0.292622951,0.117382938,0.02207567,0.015086207,0.216304897,0,1.768854893
RoverPC P1,12/1/2003,2003.916667,362,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.172169168,0.26147541,0.046183451,0.012911376,0.0125,0.17617365,0,5.818710502
RoverPC P3+,12/1/2003,2003.916667,363,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.191814461,0.29795082,0.041051956,0.015566452,0.0125,0.17617365,0,4.583392534
RoverPC S1,12/1/2003,2003.916667,364,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.169167804,0.245901639,0.099422707,0.025094748,0.02112069,0.17617365,0,6.297002252
Siemens SX1,12/1/2003,2003.916667,365,0.00778222,0.000392223,0.059571164,0.035971223,0.030894309,0.093253968,0.14324693,0.245901639,0.08274535,0.016722694,0.012068966,0.210499748,0,1.845847846
Abocom X-Pilot II,1/1/2004,2004,366,0.062471389,0.000523305,0.199635034,0.625899281,0.284552846,0.281746032,0.623465211,1,0.1533034,0.301843565,0.221982759,0.129732458,3,7.640314284
Airis NC05 / NC05A,1/1/2004,2004,367,0.031220435,0.000523305,0.132604468,0.129496403,0.056910569,0.142857143,0.173260573,0.319672131,0.089159718,0.028627711,0.018534483,0.17617365,0,4.72942629
Airis T900,1/1/2004,2004,368,0.031220435,0.000523305,0.149612223,0.129496403,0.089430894,0.103174603,0.358253752,0.094180328,0.125721616,0.045136287,0.037068966,0.17617365,0,8.811047208
AnexTEK SP230,1/1/2004,2004,369,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.169167804,0.245901639,0.099422707,0.025094748,0.02112069,0.17617365,0,6.297002252
CyberBank POZ 2470,1/1/2004,2004,370,0.031220435,0.001047635,0.099589413,0.129496403,0.056910569,0.142857143,0.174624829,0.329918033,0.077613855,0.029655483,0.029956897,0.17617365,0,4.546748535
Dopod 535 (HTC Voyager),1/1/2004,2004,371,0.015594958,0.001047635,0.065573902,0.035971223,0.030894309,0.093253968,0.118963165,0.292622951,0.117382938,0.02207567,0.015086207,0.216304897,0,1.768854893
Krome Navigator F1 (HTC Himalaya),1/1/2004,2004,372,0.062471389,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.172987722,0.329918033,0.08274535,0.027385821,0.026939655,0.17617365,0,4.589777681
Medion MDPPC 150 (MD95459),1/1/2004,2004,373,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.172169168,0.259016393,0.065426555,0.017814701,0.01875,0.17617365,0,5.873951438
MiTAC Mio 336 Digi-Walker,1/1/2004,2004,374,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.172169168,0.259016393,0.046183451,0.012804317,0.0125,0.17617365,0,5.873951438
Qtek 2020 (HTC Himalaya),1/1/2004,2004,375,0.062471389,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.172987722,0.329918033,0.08274535,0.027385821,0.026939655,0.17617365,0,4.589777681
Qtek 8060 (HTC Voyager),1/1/2004,2004,376,0.015594958,0.001047635,0.065573902,0.035971223,0.030894309,0.093253968,0.117053206,0.292622951,0.113534317,0.020876603,0.015086207,0.216304897,0,1.797717326
RoverPC P7,1/1/2004,2004,377,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.178717599,0.307377049,0.059012187,0.019806008,0.023706897,0.17617365,0,4.768416979
Sony Ericsson P900 (SE Linn),1/1/2004,2004,378,0.00778222,0.00078547,0.077579376,0.09352518,0.043902439,0.142857143,0.137789905,0.270491803,0.114175754,0.0241098,0.017241379,0.207723372,0,3.899854204
Toshiba e800w,1/1/2004,2004,379,0.062471389,0.001047635,0.199635034,0.165467626,0.154471545,0.301587302,0.190177353,0.350819672,0.067992303,0.027235938,0.029741379,0.390711762,1,4.574101896
Typhoon MyGuide 2500,1/1/2004,2004,380,0.031220435,0.000523305,0.132604468,0.129496403,0.056910569,0.142857143,0.336971351,0.118852459,0.076330981,0.035158341,0.021551724,0.17617365,0,6.5405133
Yakumo PDA Delta 300 GPS,1/1/2004,2004,381,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.172169168,0.259016393,0.065426555,0.017814701,0.01875,0.17617365,0,5.873951438
Airis N509,2/1/2004,2004.083333,382,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.172169168,0.26147541,0.065426555,0.017964585,0.01875,0.17617365,0,5.818710502
E-TEN InfoTouch P700,2/1/2004,2004.083333,383,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.195088677,0.336065574,0.095574086,0.036507291,0.030172414,0.17617365,0,3.995368984
